#TYPE HelpInfoShort
"Name","Category","Synopsis","Component","Role","Functionality","Length"
"about_ActivityCommonParameters","HelpFile","Describes the parameters that Windows PowerShell","","","","29392"
"about_Aliases","HelpFile","Describes how to use alternate names for cmdlets and commands in Windows","","","","7303"
"about_Arithmetic_Operators","HelpFile","Describes the operators that perform arithmetic in Windows PowerShell.","","","","16439"
"about_Arrays","HelpFile","Describes arrays, which are data structures designed to store","","","","9213"
"about_Assignment_Operators","HelpFile","Describes how to use operators to assign values to variables.","","","","22780"
"about_Automatic_Variables","HelpFile","Describes variables that store state information for Windows PowerShell.","","","","19856"
"about_Break","HelpFile","Describes a statement you can use to immediately exit Foreach, For, While,","","","","6797"
"about_Checkpoint-Workflow","HelpFile","Describes the Checkpoint-Workflow activity, which","","","","3218"
"about_CimSession","HelpFile","Describes a CimSession object and the difference between CIM sessions and","","","","2596"
"about_Classes","HelpFile","Describes how you can use classes to develop in Windows PowerShell","","","","31869"
"about_Command_Precedence","HelpFile","Describes how Windows PowerShell determines which command to run.","","","","10057"
"about_Command_Syntax","HelpFile","Describes the syntax diagrams that are used in Windows PowerShell.","","","","10957"
"about_Comment_Based_Help","HelpFile","Describes how to write comment-based help topics for functions and scripts.","","","","29133"
"about_CommonParameters","HelpFile","Describes the parameters that can be used with any cmdlet.","","","","21676"
"about_Comparison_Operators","HelpFile","Describes the operators that compare values in Windows PowerShell.","","","","21168"
"about_Continue","HelpFile","Describes how the Continue statement immediately returns the program flow","","","","1287"
"about_Core_Commands","HelpFile","Lists the cmdlets that are designed for use with Windows PowerShell","","","","1927"
"about_Data_Sections","HelpFile","Explains Data sections, which isolate text strings and other read-only","","","","5761"
"about_Debuggers","HelpFile","Describes the Windows PowerShell debugger.","","","","30680"
"about_DesiredStateConfiguration","HelpFile","Provides a brief introduction to the Windows","","","","7988"
"about_Do","HelpFile","Runs a statement list one or more times, subject to a While or Until","","","","2426"
"about_Environment_Variables","HelpFile","Describes how to access Windows environment variables in Windows","","","","11425"
"about_Escape_Characters","HelpFile","Introduces the escape character in Windows PowerShell and explains","","","","3496"
"about_Eventlogs","HelpFile","Windows PowerShell creates a Windows event log that is","","","","8392"
"about_Execution_Policies","HelpFile","Describes the Windows PowerShell execution policies and explains","","","","14460"
"about_For","HelpFile","Describes a language command you can use to run statements based on a","","","","5558"
"about_ForEach-Parallel","HelpFile","Describes the ForEach -Parallel language construct in","","","","3196"
"about_Foreach","HelpFile","Describes a language command you can use to traverse all the items in a","","","","14112"
"about_Format.ps1xml","HelpFile","The Format.ps1xml files in Windows PowerShell define the default display","","","","18116"
"about_Functions","HelpFile","Describes how to create and use functions in Windows PowerShell.","","","","19545"
"about_Functions_Advanced","HelpFile","Introduces advanced functions that act similar to cmdlets.","","","","3507"
"about_Functions_Advanced_Methods","HelpFile","Describes how functions that specify the CmdletBinding attribute can use","","","","9336"
"about_Functions_Advanced_Parameters","HelpFile","Explains how to add parameters to advanced functions.","","","","25186"
"about_Functions_CmdletBindingAttribute","HelpFile","Describes the attribute that makes a function work like a","","","","7877"
"about_Functions_OutputTypeAttribute","HelpFile","Describes an attribute that reports the type of object that the function","","","","6504"
"about_Group_Policy_Settings","HelpFile","Describes the Group Policy settings for Windows PowerShell","","","","6846"
"about_Hash_Tables","HelpFile","Describes how to create, use, and sort hash tables in Windows PowerShell.","","","","16259"
"about_Hidden","HelpFile","Describes the Hidden keyword, which hides class members from default Get-Member results.","","","","5853"
"about_History","HelpFile","Describes how to get and run commands in the command history.","","","","3554"
"about_If","HelpFile","Describes a language command you can use to run statement lists based","","","","3255"
"about_InlineScript","HelpFile","Describes the InlineScript activity, which runs Windows","","","","4652"
"about_Jobs","HelpFile","Provides information about how Windows PowerShell background jobs run a","","","","12370"
"about_Job_Details","HelpFile","Provides details about background jobs on local and remote computers.","","","","15404"
"about_Join","HelpFile","Describes how the join operator (-join) combines multiple strings into a","","","","2487"
"about_Language_Keywords","HelpFile","Describes the keywords in the Windows PowerShell scripting language.","","","","17976"
"about_Language_Modes","HelpFile","Explains language modes and their effect on Windows","","","","8741"
"about_Line_Editing","HelpFile","Describes how to edit commands at the Windows PowerShell command prompt.","","","","1594"
"about_Locations","HelpFile","Describes how to access items from the working location in Windows","","","","4538"
"about_Logical_Operators","HelpFile","Describes the operators that connect statements in Windows PowerShell.","","","","2784"
"about_Methods","HelpFile","Describes how to use methods to perform actions on objects in Windows","","","","7512"
"about_Modules","HelpFile","Explains how to install, import, and use Windows PowerShell modules.","","","","20908"
"about_Objects","HelpFile","Provides essential information about objects in Windows PowerShell.","","","","3022"
"about_Object_Creation","HelpFile","Explains how to create objects in Windows PowerShell.","","","","7859"
"about_Operators","HelpFile","Describes the operators that are supported by Windows PowerShell.","","","","9109"
"about_Operator_Precedence","HelpFile","Lists the Windows PowerShell operators in precedence order.","","","","6305"
"about_PackageManagement","HelpFile","PackageManagement is an aggregator for software package managers.","","","","5888"
"about_Parallel","HelpFile","Describes the Parallel keyword, which runs the","","","","1703"
"about_Parameters","HelpFile","Describes how to work with command parameters in Windows PowerShell.","","","","9486"
"about_Parameters_Default_Values","HelpFile","Describes how to set custom default values for the parameters of cmdlets and","","","","12990"
"about_Parsing","HelpFile","Describes how Windows PowerShell parses commands.","","","","4204"
"about_Parsing_LocTest","HelpFile","Describes how Windows PowerShell parses commands.","","","","3955"
"about_Path_Syntax","HelpFile","Describes the full and relative path name formats in Windows PowerShell.","","","","5412"
"about_Pipelines","HelpFile","Combining commands into pipelines in the Windows PowerShell","","","","19165"
"about_PowerShell.exe","HelpFile","Explains how to use the PowerShell.exe command-line tool. Displays","","","","7026"
"about_PowerShell_Ise.exe","HelpFile","Explains how to use the PowerShell_Ise.exe command-line tool.","","","","3124"
"about_Preference_Variables","HelpFile","Variables that customize the behavior of Windows PowerShell","","","","67471"
"about_Profiles","HelpFile","Describes how to create and use a Windows PowerShell profile.","","","","12435"
"about_Prompts","HelpFile","Describes the Prompt function and demonstrates how to create a custom","","","","8803"
"about_Properties","HelpFile","Describes how to use object properties in Windows PowerShell.","","","","12059"
"about_Providers","HelpFile","Describes how Windows PowerShell providers provide access to data and","","","","8987"
"about_PSConsoleHostReadLine","HelpFile","Explains how to create a customize how Windows PowerShell reads input","","","","1733"
"about_PSReadline","HelpFile","","","","","26588"
"about_PSSessions","HelpFile","Describes Windows PowerShell sessions (PSSessions) and explains how to","","","","11023"
"about_PSSession_Details","HelpFile","Provides detailed information about Windows PowerShell sessions and the","","","","12539"
"about_PSSnapins","HelpFile","Describes Windows PowerShell snap-ins and shows how to use and manage them.","","","","8155"
"about_Quoting_Rules","HelpFile","Describes rules for using single and double quotation marks","","","","8545"
"about_Redirection","HelpFile","Explains how to redirect output from Windows PowerShell to text files.","","","","6516"
"about_Ref","HelpFile","Describes how to create and use a reference variable type.","","","","1786"
"about_Regular_Expressions","HelpFile","Describes regular expressions in Windows PowerShell.","","","","5537"
"about_Remote","HelpFile","Describes how to run remote commands in Windows PowerShell.","","","","8044"
"about_Remote_Disconnected_Sessions","HelpFile","Explains how to disconnect from and reconnect to a PSSession","","","","30072"
"about_Remote_FAQ","HelpFile","Contains questions and answers about running remote commands","","","","22980"
"about_Remote_Jobs","HelpFile","Describes how to run background jobs on remote computers.","","","","13933"
"about_Remote_Output","HelpFile","Describes how to interpret and format the output of remote commands.","","","","9181"
"about_Remote_Requirements","HelpFile","Describes the system requirements and configuration requirements for","","","","10715"
"about_Remote_Troubleshooting","HelpFile","Describes how to troubleshoot remote operations in Windows PowerShell.","","","","33672"
"about_Remote_Variables","HelpFile","Explains how to use local and remote variables in remote","","","","3855"
"about_Requires","HelpFile","Prevents a script from running without the required elements.","","","","3895"
"about_Reserved_Words","HelpFile","Lists the reserved words that cannot be used as identifiers because they","","","","2081"
"about_Return","HelpFile","Exits the current scope, which can be a function, script, or script block.","","","","3222"
"about_Run_With_PowerShell","HelpFile","Explains how to use the ""Run with PowerShell"" feature to run","","","","2157"
"about_Scheduled_Jobs","HelpFile","Describes scheduled jobs and explains how to use and manage","","","","11766"
"about_Scheduled_Jobs_Advanced","HelpFile","Explains advanced scheduled job topics, including the file structure","","","","10101"
"about_Scheduled_Jobs_Basics","HelpFile","Explains how to create and manage scheduled jobs.","","","","11371"
"about_Scheduled_Jobs_Troubleshooting","HelpFile","Explains how to resolve problems with scheduled jobs","","","","21051"
"about_Scopes","HelpFile","Explains the concept of scope in Windows PowerShell and shows how to set","","","","19112"
"about_Scripts","HelpFile","Describes how to run and write scripts in Windows PowerShell.","","","","15890"
"about_Script_Blocks","HelpFile","Defines what a script block is and explains how to use script blocks in","","","","4019"
"about_Script_Internationalization","HelpFile","Describes the script internationalization features of Windows PowerShell 2.0","","","","9246"
"about_Sequence","HelpFile","Describes the Sequence keyword, which runs selected","","","","3312"
"about_Session_Configurations","HelpFile","Describes session configurations, which determine the users who can","","","","14714"
"about_Session_Configuration_Files","HelpFile","Describes session configuration files, which can be used in a","","","","14369"
"about_Signing","HelpFile","Explains how to sign scripts so that they comply with the Windows","","","","13211"
"about_Special_Characters","HelpFile","Describes the special characters that you can use to control how","","","","4553"
"about_Splatting","HelpFile","Describes how to use splatting to pass parameters to commands","","","","10192"
"about_Split","HelpFile","Explains how to use the Split operator to split one or more strings into","","","","11793"
"about_Suspend-Workflow","HelpFile","Describes the Suspend-Workflow activity, which suspends","","","","4461"
"about_Switch","HelpFile","Explains how to use a switch to handle multiple If statements.","","","","7546"
"about_Throw","HelpFile","Describes the Throw keyword, which generates a terminating error.","","","","5192"
"about_Transactions","HelpFile","Describes how to manage transacted operations in Windows PowerShell.","","","","27943"
"about_Trap","HelpFile","Describes a keyword that handles a terminating error.","","","","10507"
"about_Try_Catch_Finally","HelpFile","Describes how to use the Try, Catch, and Finally blocks to handle","","","","7660"
"about_Types.ps1xml","HelpFile","Explains how to use Types.ps1xml files to extend the types of objects","","","","24546"
